date,yield,Open,High,Low
2010-06-30,12.788,12.788,12.788,12.32
2010-07-31,12.01,12.12,12.12,12.0
2010-08-31,11.51,11.575,11.575,11.506
2010-09-30,12.02,11.92,12.04,11.89
2010-10-31,11.92,12.17,12.38,11.92
2010-11-30,12.607,12.49,12.72,12.43
2010-12-31,12.438,12.27,12.438,12.17
2011-01-31,12.438,12.81,12.9,12.438
2011-02-28,12.493,12.5,12.55,12.33
2011-03-31,12.438,12.93,13.0,12.438
2011-04-30,12.413,12.15,12.785,12.15
2011-05-31,12.547,12.553,12.6,12.41
2011-06-30,12.463,13.509,13.509,12.425
2011-07-31,12.81,12.85,12.85,12.775
2011-08-31,11.643,11.61,11.9,11.535
2011-09-30,11.619,11.7,12.1,11.61
2011-10-31,11.45,11.509,11.615,11.44
2011-11-30,11.104,11.19,11.29,11.064
2011-12-31,11.12,11.365,11.365,11.12
2012-01-31,11.23,11.424,11.504,11.15
2012-02-29,11.394,11.0,11.414,10.99
2012-03-31,11.244,11.16,11.254,11.1
2012-04-30,10.71,10.555,10.832,10.555
2012-05-31,10.472,10.07,10.492,10.07
2012-06-30,9.92,10.301,10.301,9.92
2012-07-31,9.46,9.6,9.6,9.44
2012-08-31,9.57,9.65,9.65,9.57
2012-09-30,9.785,9.86,9.86,9.735
2012-10-31,9.23,9.24,9.24,9.16
2012-11-30,9.45,9.44,9.52,9.34
2012-12-31,9.18,9.18,9.267,9.16
2013-01-31,9.55,9.59,9.59,9.493
2013-02-28,9.46,9.52,9.53,9.41
2013-03-31,10.1,9.89,10.14,9.8
2013-04-30,9.61,9.76,9.76,9.59
2013-05-31,10.52,10.35,10.53,10.24
2013-06-30,11.18,10.91,11.18,10.85
2013-07-31,10.99,11.1,11.14,10.89
2013-08-31,11.98,12.14,12.14,11.98
2013-09-30,11.7,11.81,11.81,11.67
2013-10-31,11.73,11.57,11.81,11.51
2013-11-30,12.94,12.88,12.96,12.77
2013-12-31,13.21,13.19,13.22,13.1
2014-01-31,13.4,13.3,13.55,13.29
2014-02-28,12.7,12.47,12.75,12.4
2014-03-31,12.8,12.72,12.825,12.69
2014-04-30,12.44,12.53,12.6,12.42
2014-05-31,12.105,12.15,12.23,12.105
2014-06-30,12.195,12.16,12.3,12.16
2014-07-31,12.02,11.91,12.08,11.91
2014-08-31,11.215,11.27,11.34,11.18
2014-09-30,12.34,12.46,12.46,12.32
2014-10-31,12.07,12.215,12.24,12.03
2014-11-30,11.825,11.885,11.965,11.81
2014-12-31,12.425,12.42,12.425,12.42
2015-01-31,11.97,11.955,12.01,11.83
2015-02-28,12.43,12.44,12.44,12.387
2015-03-31,13.055,13.025,13.17,13.025
2015-04-30,12.8,12.75,12.89,12.75
2015-05-31,12.255,12.22,12.255,12.22
2015-06-30,12.63,12.59,12.63,12.59
2015-07-31,12.98,12.99,12.99,12.936
2015-08-31,14.28,14.268,14.28,14.268
2015-09-30,15.47,15.67,15.72,15.47
2015-10-31,15.89,15.88,15.89,15.858
2015-11-30,15.815,15.86,15.86,15.8
2015-12-31,16.49,16.46,16.49,16.36
2016-01-31,16.0,16.06,16.06,15.98
2016-02-29,15.935,15.91,16.01,15.8
2016-03-31,14.0,13.82,14.0,13.813
2016-04-30,12.45,12.77,12.77,12.44
2016-05-31,13.05,13.13,13.12,12.95
2016-06-30,12.19,12.21,12.26,11.998
2016-07-31,11.83,11.92,11.95,11.79
2016-08-31,12.11,12.17,12.21,12.08
2016-09-30,11.63,11.79,11.79,11.55
2016-10-31,11.47,11.41,11.47,11.35
2016-11-30,11.9,11.91,11.924,11.82
2016-12-31,11.46,11.725,11.725,11.425
2017-01-31,10.935,11.035,11.035,10.835
2017-02-28,10.25,10.42,10.45,10.21
2017-03-31,10.11,10.11,10.13,10.04
2017-04-30,10.315,10.46,10.46,10.28
2017-05-31,10.74,10.87,10.88,10.71
2017-06-30,10.53,10.62,10.8,10.52
2017-07-31,10.015,10.135,10.135,9.935
2017-08-31,9.955,10.08,10.08,9.925
2017-09-30,9.745,9.845,9.845,9.68
2017-10-31,9.9,9.87,10.07,9.805
2017-11-30,10.39,10.31,10.42,10.26
2017-12-31,10.27,10.39,10.39,10.22
2018-01-31,9.72,9.79,9.79,9.69
2018-02-28,9.62,9.625,9.72,9.57
2018-03-31,9.455,9.53,9.62,9.455
2018-04-30,9.67,9.6,9.68,9.6
2018-05-31,11.22,11.3,11.79,11.1
2018-06-30,11.62,11.73,11.84,11.53
2018-07-31,11.09,10.98,11.12,10.97
2018-08-31,12.19,12.45,12.46,12.13
2018-09-30,11.635,11.48,11.675,11.48
2018-10-31,10.24,10.16,10.27,10.09
2018-11-30,9.93,9.99,10.07,9.905
2018-12-31,9.32,9.28,9.37,9.19
2019-01-31,8.87,9.05,9.05,8.8
2019-02-28,9.02,9.01,9.05,8.98
2019-03-31,8.985,8.94,9.005,8.83
2019-04-30,8.965,9.005,9.035,8.945
2019-05-31,8.47,8.49,8.54,8.425
2019-06-30,7.48,7.65,7.65,7.43
2019-07-31,7.25,7.27,7.28,7.16
2019-08-31,7.44,7.59,7.59,7.41
2019-09-30,7.045,7.03,7.06,7.02
2019-10-31,6.44,6.44,6.44,6.44
2019-11-30,6.885,6.955,6.955,6.885
2019-12-31,6.805,6.88,6.88,6.805
2020-01-31,6.7,6.695,6.7,6.67
2020-02-29,6.78,6.725,6.78,6.725
2020-03-31,7.65,7.765,7.765,7.65
2020-04-30,7.58,7.49,7.61,7.49
2020-05-31,6.96,7.09,7.09,6.96
2020-06-30,6.71,6.84,6.84,6.7
2020-07-31,6.3,6.33,6.33,6.285
2020-08-31,6.92,6.855,6.97,6.855
2020-09-30,7.34,7.495,7.495,7.34
2020-10-31,7.61,7.525,7.61,7.525
2020-11-30,7.62,7.565,7.62,7.565
