date,yield,Open,High,Low
2010-09-30,13.0,13.0,13.0,13.0
2010-10-31,13.0,13.0,13.0,13.0
2010-11-30,12.95,12.95,12.95,12.95
2010-12-31,13.0,13.0,13.0,13.0
2011-01-31,13.0,13.0,13.0,13.0
2011-02-28,13.063,13.063,13.063,13.063
2011-03-31,14.288,14.288,14.288,14.288
2011-04-30,14.6,14.6,14.6,14.6
2011-05-31,14.0,14.0,14.0,14.0
2011-06-30,13.75,13.75,13.75,13.75
2011-07-31,13.85,13.85,13.85,13.85
2011-08-31,15.5,15.5,15.5,15.5
2011-09-30,15.25,15.25,15.25,15.25
2011-10-31,15.5,15.5,15.5,15.5
2011-11-30,15.5,15.5,15.5,15.5
2011-12-31,,,,
2012-01-31,14.2,14.2,14.2,14.2
2012-02-29,15.0,15.0,15.0,15.0
2012-03-31,14.5,14.5,14.5,14.5
2012-04-30,17.0,17.0,17.0,17.0
2012-05-31,17.0,17.0,17.0,17.0
2012-06-30,17.0,17.0,17.0,17.0
2012-07-31,17.0,17.0,17.0,17.0
2012-08-31,17.0,17.0,17.0,17.0
2012-09-30,17.25,17.25,17.25,17.25
2012-10-31,16.2,16.2,16.2,16.2
2012-11-30,16.7,16.7,16.7,16.7
2012-12-31,16.7,16.7,16.7,16.7
2013-01-31,16.35,16.35,16.35,16.35
2013-02-28,16.45,16.45,16.45,16.45
2013-03-31,16.7,16.7,16.7,16.7
2013-04-30,16.7,16.7,16.7,16.7
2013-05-31,16.65,16.65,16.65,16.65
2013-06-30,16.65,16.65,16.65,16.65
2013-07-31,16.65,16.65,16.65,16.65
2013-08-31,16.4,16.4,16.4,16.4
2013-09-30,16.55,16.55,16.55,16.55
2013-10-31,16.1,16.1,16.1,16.1
2013-11-30,14.5,14.5,14.5,14.5
2013-12-31,14.5,14.5,14.5,14.5
2014-01-31,15.1,15.1,15.1,15.1
2014-02-28,15.05,15.05,15.05,15.05
2014-03-31,15.15,15.15,15.15,15.15
2014-04-30,15.4,15.4,15.4,15.4
2014-05-31,15.5,15.5,15.5,15.5
2014-06-30,15.45,15.45,15.45,15.45
2014-07-31,15.85,15.85,15.85,15.85
2014-08-31,15.9,15.9,15.9,15.9
2014-09-30,15.95,15.95,15.95,15.95
2014-10-31,15.98,15.98,15.98,15.98
2014-11-30,15.98,15.98,15.98,15.98
2014-12-31,14.9,14.9,14.9,14.9
2015-01-31,14.65,14.65,14.65,14.65
2015-02-28,14.2,14.2,14.2,14.2
2015-03-31,14.45,14.45,14.45,14.45
2015-04-30,14.35,14.35,14.35,14.35
2015-05-31,14.55,14.55,14.55,14.55
2015-06-30,14.65,14.65,14.65,14.65
2015-07-31,15.5,15.5,15.5,15.5
2015-08-31,15.4,15.4,15.4,15.4
2015-09-30,15.1,15.1,15.1,15.1
2015-10-31,15.41,15.41,15.41,15.41
2015-11-30,15.25,15.25,15.25,15.25
2015-12-31,15.54,15.54,15.54,15.54
2016-01-31,15.77,15.77,15.77,15.77
2016-02-29,15.85,15.85,15.85,15.85
2016-03-31,17.15,17.15,17.15,17.15
2016-04-30,17.29,17.29,17.29,17.29
2016-05-31,17.24,17.24,17.24,17.24
2016-06-30,17.97,17.97,17.97,17.97
2016-07-31,17.81,17.81,17.81,17.81
2016-08-31,17.59,17.59,17.59,17.59
2016-09-30,17.5,17.5,17.5,17.5
2016-10-31,17.58,17.58,17.58,17.58
2016-11-30,17.02,17.02,17.02,17.02
2016-12-31,17.15,17.15,17.15,17.15
2017-01-31,17.35,17.35,17.35,17.35
2017-02-28,16.95,16.95,16.95,16.95
2017-03-31,17.42,17.42,17.42,17.42
2017-04-30,17.13,17.13,17.13,17.13
2017-05-31,18.58,18.58,18.58,18.58
2017-06-30,18.37,18.37,18.37,18.37
2017-07-31,17.81,17.81,17.81,17.81
2017-08-31,16.84,16.84,16.84,16.84
2017-09-30,15.45,15.45,15.45,15.45
2017-10-31,15.65,15.65,15.65,15.65
2017-11-30,16.21,16.21,16.21,16.21
2017-12-31,16.18,16.18,16.18,16.18
2018-01-31,14.75,14.75,14.75,14.75
2018-02-28,14.8,14.8,14.8,14.8
2018-03-31,14.825,14.825,14.825,14.825
2018-04-30,14.915,14.915,14.915,14.915
2018-05-31,15.32,15.32,15.32,15.32
2018-06-30,16.95,16.95,16.95,16.95
2018-07-31,17.11,17.11,17.11,17.11
2018-08-31,18.15,18.15,18.15,18.15
2018-09-30,18.72,18.72,18.72,18.72
2018-10-31,18.05,18.05,18.05,18.05
2018-11-30,17.8,17.8,17.8,17.8
2018-12-31,18.106,18.106,18.106,18.106
2019-01-31,17.75,17.75,17.75,17.75
2019-02-28,17.6,17.6,17.6,17.6
2019-03-31,16.6,16.6,16.6,16.6
2019-04-30,16.3,16.3,16.3,16.3
2019-05-31,15.964,15.964,15.964,15.964
2019-06-30,15.73,15.73,15.73,15.73
2019-07-31,15.73,15.73,15.73,15.73
2019-08-31,14.71,14.71,14.71,14.71
2019-09-30,13.9,13.9,13.9,13.9
2019-10-31,14.16,14.16,14.16,14.16
2019-11-30,13.883,13.883,13.883,13.883
2019-12-31,13.702,13.702,13.702,13.702
2020-01-31,13.65,13.65,13.65,13.65
2020-02-29,13.65,13.65,13.65,13.65
2020-03-31,14.954,14.954,14.954,14.954
2020-04-30,13.6,13.6,13.6,13.6
2020-05-31,13.997,13.997,13.997,13.997
2020-06-30,13.911,13.911,13.911,13.911
2020-07-31,14.459,14.459,14.459,14.459
2020-08-31,14.747,14.747,14.747,14.747
2020-09-30,14.578,14.578,14.578,14.578
2020-10-31,14.687,14.687,14.687,14.687
2020-11-30,14.478,14.478,14.478,14.478
2020-12-31,14.481,14.481,14.481,14.481
2021-01-31,14.481,14.481,14.481,14.481
2021-02-28,14.649,14.649,14.649,14.649
2021-03-31,14.915,14.915,14.915,14.915
2021-04-30,14.853,14.853,14.853,14.853
2021-05-31,14.894,14.894,14.894,14.894
2021-06-30,14.823,14.823,14.823,14.823
2021-07-31,15.316,15.316,15.316,15.316
2021-08-31,15.272,15.272,15.272,15.272
2021-09-30,14.88,14.88,14.88,14.88
2021-10-31,14.913,14.913,14.913,14.913
2021-11-30,14.915,14.915,14.915,14.915
2021-12-31,14.893,14.893,14.893,14.893
2022-01-31,14.893,14.893,14.893,14.893
2022-02-28,14.891,14.891,14.891,14.891
2022-03-31,15.51,15.51,15.51,15.51
