date,yield,Open,High,Low
1998-03-31,12.086,12.086,12.086,12.086
1998-04-30,11.781,11.781,11.781,11.781
1998-05-31,12.049,12.049,12.049,12.049
1998-06-30,12.117,12.117,12.117,12.117
1998-07-31,12.2,12.2,12.2,12.2
1998-08-31,12.241,12.241,12.241,12.241
1998-09-30,12.287,12.287,12.287,12.287
1998-10-31,12.302,12.302,12.302,12.302
1998-11-30,12.221,12.221,12.221,12.221
1998-12-31,12.213,12.213,12.213,12.213
1999-01-31,12.219,12.219,12.219,12.219
1999-02-28,12.223,12.223,12.223,12.223
1999-03-31,11.994,11.994,11.994,11.994
1999-04-30,11.886,11.886,11.886,11.886
1999-05-31,11.7,11.7,11.7,11.7
1999-06-30,11.851,11.851,11.851,11.851
1999-07-31,11.673,11.673,11.673,11.673
1999-08-31,11.588,11.588,11.588,11.588
1999-09-30,11.634,11.634,11.634,11.634
1999-10-31,11.521,11.521,11.521,11.521
1999-11-30,11.384,11.384,11.384,11.384
1999-12-31,11.197,11.197,11.197,11.197
2000-01-31,10.897,10.897,10.897,10.897
2000-02-29,10.405,10.405,10.405,10.405
2000-03-31,10.756,10.756,10.756,10.756
2000-04-30,10.364,10.364,10.364,10.364
2000-05-31,10.827,10.827,10.827,10.827
2000-06-30,11.059,11.059,11.059,11.059
2000-07-31,11.354,11.354,11.354,11.354
2000-08-31,11.505,11.505,11.505,11.505
2000-09-30,11.54,11.54,11.54,11.54
2000-10-31,11.6,11.6,11.6,11.6
2000-11-30,11.348,11.348,11.348,11.348
2000-12-31,10.884,10.884,10.884,10.884
2001-01-31,10.424,10.424,10.424,10.424
2001-02-28,10.078,10.078,10.078,10.078
2001-03-31,10.333,10.333,10.333,10.333
2001-04-30,10.125,10.125,10.125,10.125
2001-05-31,9.762,9.762,9.762,9.762
2001-06-30,9.501,9.501,9.501,9.501
2001-07-31,9.363,9.363,9.363,9.363
2001-08-31,9.114,9.114,9.114,9.114
2001-09-30,9.122,9.122,9.122,9.122
2001-10-31,8.8,8.8,8.8,8.8
2001-11-30,7.88,7.88,7.88,7.88
2001-12-31,7.939,7.939,7.939,7.939
2002-01-31,7.669,7.669,7.669,7.669
