date,country,yield_10y,CPI_annual_pct,GDP_growth_annual_pct,External_debt_usd,usd_index,brent
6/30/2010,Brazil,12.788,5.038726901,7.528225818,3.52364E+11,86.57500042,75.54863566
7/31/2010,Brazil,12.01,5.038726901,7.528225818,3.52364E+11,83.07047562,75.50899964
8/31/2010,Brazil,11.51,5.038726901,7.528225818,3.52364E+11,82.1490912,77.11499994
9/30/2010,Brazil,12.02,5.038726901,7.528225818,3.52364E+11,81.08333297,78.49095226
10/31/2010,Brazil,11.92,5.038726901,7.528225818,3.52364E+11,77.45999945,83.53619022
11/30/2010,Brazil,12.607,5.038726901,7.528225818,3.52364E+11,78.37571462,86.1623804
12/31/2010,Brazil,12.438,5.038726901,7.528225818,3.52364E+11,80.04909134,92.18590823
1/31/2011,Brazil,12.438,6.636449622,3.974423079,4.04046E+11,79.14600029,96.78631592
2/28/2011,Brazil,12.493,6.636449622,3.974423079,4.04046E+11,77.78263172,103.9421049
3/31/2011,Brazil,12.438,6.636449622,3.974423079,4.04046E+11,76.28956604,114.6495451
4/30/2011,Brazil,12.413,6.636449622,3.974423079,4.04046E+11,74.72449989,123.0505259
5/31/2011,Brazil,12.547,6.636449622,3.974423079,4.04046E+11,74.94142841,114.5142862
6/30/2011,Brazil,12.463,6.636449622,3.974423079,4.04046E+11,74.69363611,113.901818
7/31/2011,Brazil,12.81,6.636449622,3.974423079,4.04046E+11,74.75699959,117.1182354
8/31/2011,Brazil,11.643,6.636449622,3.974423079,4.04046E+11,74.23652185,109.9147615
9/30/2011,Brazil,11.619,6.636449622,3.974423079,4.04046E+11,76.99047634,110.1945
10/31/2011,Brazil,11.45,6.636449622,3.974423079,4.04046E+11,77.15428525,109.0895004
11/30/2011,Brazil,11.104,6.636449622,3.974423079,4.04046E+11,77.89142899,110.822631
12/31/2011,Brazil,11.12,6.636449622,3.974423079,4.04046E+11,79.61142803,107.7228564
1/31/2012,Brazil,11.23,5.40349914,1.921175986,4.40497E+11,80.26800041,111.4649998
2/29/2012,Brazil,11.394,5.40349914,1.921175986,4.40497E+11,78.93149948,119.0105007
3/31/2012,Brazil,11.244,5.40349914,1.921175986,4.40497E+11,79.53681807,124.544546
4/30/2012,Brazil,10.71,5.40349914,1.921175986,4.40497E+11,79.40150032,120.4865002
5/31/2012,Brazil,10.472,5.40349914,1.921175986,4.40497E+11,80.92545492,110.4331825
6/30/2012,Brazil,9.92,5.40349914,1.921175986,4.40497E+11,82.22047715,95.92714328
7/31/2012,Brazil,9.46,5.40349914,1.921175986,4.40497E+11,83.06761896,102.8642862
8/31/2012,Brazil,9.57,5.40349914,1.921175986,4.40497E+11,82.16000034,112.6782611
9/30/2012,Brazil,9.785,5.40349914,1.921175986,4.40497E+11,79.81421099,112.6147053
10/31/2012,Brazil,9.23,5.40349914,1.921175986,4.40497E+11,79.70809501,111.6210528
11/30/2012,Brazil,9.45,5.40349914,1.921175986,4.40497E+11,80.68523843,109.4620007
12/31/2012,Brazil,9.18,5.40349914,1.921175986,4.40497E+11,79.75849991,109.302778
1/31/2013,Brazil,9.55,6.204310666,3.004822669,4.83735E+11,79.8733328,112.2680958
2/28/2013,Brazil,9.46,6.204310666,3.004822669,4.83735E+11,80.60526316,116.0826316
3/31/2013,Brazil,10.1,6.204310666,3.004822669,4.83735E+11,82.62549973,109.5205259
4/30/2013,Brazil,9.61,6.204310666,3.004822669,4.83735E+11,82.52500049,103.5668189
5/31/2013,Brazil,10.52,6.204310666,3.004822669,4.83735E+11,83.21363622,103.2154551
6/30/2013,Brazil,11.18,6.204310666,3.004822669,4.83735E+11,81.85049973,103.1426319
7/31/2013,Brazil,10.99,6.204310666,3.004822669,4.83735E+11,82.78954627,107.4919048
8/31/2013,Brazil,11.98,6.204310666,3.004822669,4.83735E+11,81.48181777,110.5119051
9/30/2013,Brazil,11.7,6.204310666,3.004822669,4.83735E+11,81.15949898,111.3200005
10/31/2013,Brazil,11.73,6.204310666,3.004822669,4.83735E+11,79.86652175,109.5022732
11/30/2013,Brazil,12.94,6.204310666,3.004822669,4.83735E+11,80.84400024,107.7210533
12/31/2013,Brazil,13.21,6.204310666,3.004822669,4.83735E+11,80.30666606,110.8540001
1/31/2014,Brazil,13.4,6.329040155,0.50395574,5.5692E+11,80.80952417,107.1994995
2/28/2014,Brazil,12.7,6.329040155,0.50395574,5.5692E+11,80.45736855,108.7061115
3/31/2014,Brazil,12.8,6.329040155,0.50395574,5.5692E+11,79.87047686,107.8576188
4/30/2014,Brazil,12.44,6.329040155,0.50395574,5.5692E+11,79.85333361,108.0519053
5/31/2014,Brazil,12.105,6.329040155,0.50395574,5.5692E+11,79.94904727,109.2195242
6/30/2014,Brazil,12.195,6.329040155,0.50395574,5.5692E+11,80.44238209,111.980476
7/31/2014,Brazil,12.02,6.329040155,0.50395574,5.5692E+11,80.54772637,107.9859089
8/31/2014,Brazil,11.215,6.329040155,0.50395574,5.5692E+11,81.86380949,103.3204756
9/30/2014,Brazil,12.34,6.329040155,0.50395574,5.5692E+11,84.45904795,98.25380888
10/31/2014,Brazil,12.07,6.329040155,0.50395574,5.5692E+11,85.6704347,87.97913062
11/30/2014,Brazil,11.825,6.329040155,0.50395574,5.5692E+11,87.72842086,79.91210456
12/31/2014,Brazil,12.425,6.329040155,0.50395574,5.5692E+11,89.15681735,63.20363652
1/31/2015,Brazil,11.97,9.029901024,-3.545763393,5.43397E+11,92.97700043,49.67999992
2/28/2015,Brazil,12.43,9.029901024,-3.545763393,5.43397E+11,94.45789337,58.44052626
3/31/2015,Brazil,13.055,9.029901024,-3.545763393,5.43397E+11,97.8781825,56.93499981
4/30/2015,Brazil,12.8,9.029901024,-3.545763393,5.43397E+11,97.59190478,60.96523775
5/31/2015,Brazil,12.255,9.029901024,-3.545763393,5.43397E+11,95.19200096,65.60099926
6/30/2015,Brazil,12.63,9.029901024,-3.545763393,5.43397E+11,95.17000025,63.70409029
7/31/2015,Brazil,12.98,9.029901024,-3.545763393,5.43397E+11,96.96227299,56.62181802
8/31/2015,Brazil,14.28,9.029901024,-3.545763393,5.43397E+11,96.37809499,48.21952384
9/30/2015,Brazil,15.47,9.029901024,-3.545763393,5.43397E+11,95.75809515,48.43333344
10/31/2015,Brazil,15.89,9.029901024,-3.545763393,5.43397E+11,95.71409087,49.21409121
11/30/2015,Brazil,15.815,9.029901024,-3.545763393,5.43397E+11,99.03300056,45.90700016
12/31/2015,Brazil,16.49,9.029901024,-3.545763393,5.43397E+11,98.33409049,38.90954521
1/31/2016,Brazil,16,8.739143523,-3.275916908,5.43257E+11,99.02300034,32.2121051
2/29/2016,Brazil,15.935,8.739143523,-3.275916908,5.43257E+11,97.09550018,33.55649996
3/31/2016,Brazil,14,8.739143523,-3.275916908,5.43257E+11,96.25954507,39.75136375
4/30/2016,Brazil,12.45,8.739143523,-3.275916908,5.43257E+11,94.40380932,43.38666644
5/31/2016,Brazil,13.05,8.739143523,-3.275916908,5.43257E+11,94.52190472,47.73904764
6/30/2016,Brazil,12.19,8.739143523,-3.275916908,5.43257E+11,94.67227208,49.92681816
7/31/2016,Brazil,11.83,8.739143523,-3.275916908,5.43257E+11,96.57250061,46.33099976
8/31/2016,Brazil,12.11,8.739143523,-3.275916908,5.43257E+11,95.38000024,47.17260825
9/30/2016,Brazil,11.63,8.739143523,-3.275916908,5.43257E+11,95.46523757,47.29809534
10/31/2016,Brazil,11.47,8.739143523,-3.275916908,5.43257E+11,97.73899918,51.21049976
11/30/2016,Brazil,11.9,8.739143523,-3.275916908,5.43257E+11,99.70550041,47.10850086
12/31/2016,Brazil,11.46,8.739143523,-3.275916908,5.43257E+11,102.0133325,54.71761885
1/31/2017,Brazil,10.935,3.44637335,1.322869054,5.43E+11,101.1219997,55.42699985
2/28/2017,Brazil,10.25,3.44637335,1.322869054,5.43E+11,100.6910533,55.92684274
3/31/2017,Brazil,10.11,3.44637335,1.322869054,5.43E+11,100.7591297,52.50565189
4/30/2017,Brazil,10.315,3.44637335,1.322869054,5.43E+11,100.0452628,53.81894704
5/31/2017,Brazil,10.74,3.44637335,1.322869054,5.43E+11,98.26863653,51.34954556
6/30/2017,Brazil,10.53,3.44637335,1.322869054,5.43E+11,96.94863684,47.5400004
7/31/2017,Brazil,10.015,3.44637335,1.322869054,5.43E+11,94.86100082,49.1255003
8/31/2017,Brazil,9.955,3.44637335,1.322869054,5.43E+11,93.17608643,51.90695638
9/30/2017,Brazil,9.745,3.44637335,1.322869054,5.43E+11,92.32400055,55.65200024
10/31/2017,Brazil,9.9,3.44637335,1.322869054,5.43E+11,93.71954484,57.64909068
11/30/2017,Brazil,10.39,3.44637335,1.322869054,5.43E+11,93.99714406,62.87142853
12/31/2017,Brazil,10.27,3.44637335,1.322869054,5.43E+11,93.38800011,64.06650028
1/31/2018,Brazil,9.72,3.664850284,1.783666762,5.57765E+11,90.74476188,69.02238028
