date,yield,Open,High,Low
1995-06-30,16.69,16.69,16.69,16.69
1995-07-31,16.42,16.42,16.42,16.42
1995-08-31,15.64,15.64,15.64,15.64
1995-09-30,15.14,15.14,15.14,15.14
1995-10-31,14.87,14.87,14.87,14.87
1995-11-30,14.48,14.48,14.48,14.48
1995-12-31,14.3,14.3,14.3,14.3
1996-01-31,13.71,13.71,13.71,13.71
1996-02-29,14.65,14.65,14.65,14.65
1996-03-31,15.25,15.25,15.25,15.25
1996-04-30,16.16,16.16,16.16,16.16
1996-05-31,16.19,16.19,16.19,16.19
1996-06-30,14.99,14.99,14.99,14.99
1996-07-31,15.86,15.86,15.86,15.86
1996-08-31,15.52,15.52,15.52,15.52
1996-09-30,15.51,15.51,15.51,15.51
1996-10-31,16.22,16.22,16.22,16.22
1996-11-30,16.12,16.12,16.12,16.12
1996-12-31,16.27,16.27,16.27,16.27
1997-01-31,15.37,15.37,15.37,15.37
1997-02-28,15.11,15.11,15.11,15.11
1997-03-31,15.31,15.31,15.31,15.31
1997-04-30,14.91,14.91,14.91,14.91
1997-05-31,14.97,14.97,14.97,14.97
1997-06-30,14.41,14.41,14.41,14.41
1997-07-31,,,,
1997-08-31,,,,
1997-09-30,,,,
1997-10-31,13.87,13.87,13.87,13.87
1997-11-30,14.5,14.5,14.5,14.5
1997-12-31,14.31,14.31,14.31,14.31
1998-01-31,13.77,13.77,13.77,13.77
1998-02-28,13.49,13.49,13.49,13.49
1998-03-31,13.3,13.3,13.3,13.3
1998-04-30,13.065,13.065,13.065,13.065
1998-05-31,14.12,14.12,14.12,14.12
1998-06-30,15.425,15.425,15.425,15.425
1998-07-31,15.755,15.755,15.755,15.755
1998-08-31,20.24,20.24,20.24,20.24
1998-09-30,18.02,18.02,18.02,18.02
1998-10-31,16.28,16.28,16.28,16.28
1998-11-30,16.59,16.59,16.59,16.59
1998-12-31,16.42,16.42,16.42,16.42
1999-01-31,16.16,16.16,16.16,16.16
1999-02-28,14.82,14.82,14.82,14.82
1999-03-31,14.865,14.865,14.865,14.865
1999-04-30,,,,
1999-05-31,15.17,15.17,15.17,15.17
1999-06-30,15.23,15.23,15.23,15.23
1999-07-31,15.185,15.185,15.185,15.185
1999-08-31,15.275,15.275,15.275,15.275
1999-09-30,15.06,15.06,15.06,15.06
1999-10-31,14.815,14.815,14.815,14.815
1999-11-30,14.33,14.33,14.33,14.33
1999-12-31,13.685,13.685,13.685,13.685
2000-01-31,13.72,13.72,13.72,13.72
2000-02-29,13.69,13.69,13.69,13.69
2000-03-31,14.11,14.11,14.11,14.11
2000-04-30,14.495,14.495,14.495,14.495
2000-05-31,14.47,14.47,14.47,14.47
2000-06-30,14.21,14.21,14.21,14.21
2000-07-31,13.715,13.715,13.715,13.715
2000-08-31,13.56,13.56,13.56,13.56
2000-09-30,13.555,13.555,13.555,13.555
2000-10-31,13.765,13.765,13.765,13.765
2000-11-30,13.23,13.23,13.23,13.23
2000-12-31,12.725,12.725,12.725,12.725
2001-01-31,12.37,12.37,12.37,12.37
2001-02-28,11.655,11.655,11.655,11.655
2001-03-31,12.26,12.26,12.26,12.26
2001-04-30,12.05,12.05,12.05,12.05
2001-05-31,11.83,11.83,11.83,11.83
2001-06-30,10.875,10.875,10.875,10.875
2001-07-31,10.64,10.64,10.64,10.64
2001-08-31,10.8,10.8,10.8,10.8
2001-09-30,10.735,10.735,10.735,10.735
2001-10-31,10.44,10.44,10.44,10.44
2001-11-30,10.255,10.255,10.255,10.255
2001-12-31,11.54,11.54,11.54,11.54
2002-01-31,12.12,12.12,12.12,12.12
2002-02-28,12.52,12.52,12.52,12.52
2002-03-31,13.23,13.23,13.23,13.23
2002-04-30,12.05,12.05,12.05,12.05
2002-05-31,11.805,11.805,11.805,11.805
2002-06-30,12.0,12.0,12.0,12.0
