date,yield,Open,High,Low
2014-01-31,8.07,8.07,8.07,8.07
2014-02-28,,,,
2014-03-31,,,,
2014-04-30,,,,
2014-05-31,,,,
2014-06-30,,,,
2014-07-31,,,,
2014-08-31,,,,
2014-09-30,,,,
2014-10-31,,,,
2014-11-30,,,,
2014-12-31,,,,
2015-01-31,9.574333333333334,9.574333333333334,9.574333333333334,9.574333333333334
2015-02-28,,,,
2015-03-31,,,,
2015-04-30,,,,
2015-05-31,,,,
2015-06-30,,,,
2015-07-31,,,,
2015-08-31,,,,
2015-09-30,,,,
2015-10-31,,,,
2015-11-30,,,,
2015-12-31,,,,
2016-01-31,12.263916666666667,12.263916666666667,12.263916666666667,12.263916666666667
2016-02-29,,,,
2016-03-31,,,,
2016-04-30,,,,
2016-05-31,,,,
2016-06-30,,,,
2016-07-31,,,,
2016-08-31,,,,
2016-09-30,,,,
2016-10-31,,,,
2016-11-30,,,,
2016-12-31,,,,
2017-01-31,11.418999999999999,11.418999999999999,11.418999999999999,11.418999999999999
2017-02-28,,,,
2017-03-31,,,,
2017-04-30,,,,
2017-05-31,,,,
2017-06-30,,,,
2017-07-31,,,,
2017-08-31,,,,
2017-09-30,,,,
2017-10-31,,,,
2017-11-30,,,,
2017-12-31,,,,
2018-01-31,10.920833333333334,10.920833333333334,10.920833333333334,10.920833333333334
2018-02-28,,,,
2018-03-31,,,,
2018-04-30,,,,
2018-05-31,,,,
2018-06-30,,,,
2018-07-31,,,,
2018-08-31,,,,
2018-09-30,,,,
2018-10-31,,,,
2018-11-30,,,,
2018-12-31,,,,
2019-01-31,10.6725,10.6725,10.6725,10.6725
2019-02-28,,,,
2019-03-31,,,,
2019-04-30,,,,
2019-05-31,,,,
2019-06-30,,,,
2019-07-31,,,,
2019-08-31,,,,
2019-09-30,,,,
2019-10-31,,,,
2019-11-30,,,,
2019-12-31,,,,
2020-01-31,8.459833333333334,8.653416666666667,8.78825,8.265166666666667
2020-02-29,,,,
2020-03-31,,,,
2020-04-30,,,,
2020-05-31,,,,
2020-06-30,,,,
2020-07-31,,,,
2020-08-31,,,,
2020-09-30,,,,
2020-10-31,,,,
2020-11-30,,,,
2020-12-31,,,,
2021-01-31,9.681083333333333,9.335666666666667,9.904416666666668,9.138666666666667
2021-02-28,,,,
2021-03-31,,,,
2021-04-30,,,,
2021-05-31,,,,
2021-06-30,,,,
2021-07-31,,,,
2021-08-31,,,,
2021-09-30,,,,
2021-10-31,,,,
2021-11-30,,,,
2021-12-31,,,,
2022-01-31,23.67758333333333,22.277833333333334,25.560916666666667,21.558000000000003
2022-02-28,,,,
2022-03-31,,,,
2022-04-30,,,,
2022-05-31,,,,
2022-06-30,,,,
2022-07-31,,,,
2022-08-31,,,,
2022-09-30,,,,
2022-10-31,,,,
2022-11-30,,,,
2022-12-31,,,,
2023-01-31,19.24,20.54491666666667,20.683333333333334,18.923333333333336
2023-02-28,,,,
2023-03-31,,,,
2023-04-30,,,,
2023-05-31,,,,
2023-06-30,,,,
2023-07-31,,,,
2023-08-31,,,,
2023-09-30,,,,
2023-10-31,,,,
2023-11-30,,,,
2023-12-31,,,,
2024-01-31,13.060166666666667,13.181916666666666,13.346333333333334,12.965916666666667
