date,yield,Open,High,Low
2010-02-28,10.88,11.27,11.39,10.88
2010-03-31,10.55,10.88,11.29,10.55
2010-04-30,10.73,10.7,11.49,10.55
2010-05-31,10.75,10.77,11.65,10.58
2010-06-30,9.82,10.75,10.75,9.77
2010-07-31,9.04,9.82,9.9,8.83
2010-08-31,9.04,9.02,9.57,8.99
2010-09-30,9.0,9.06,9.32,9.0
2010-10-31,8.51,9.01,9.08,8.47
2010-11-30,9.14,8.57,9.14,8.4
2010-12-31,8.61,9.07,9.34,8.61
2011-01-31,9.67,8.61,9.84,8.49
2011-02-28,9.7,9.68,9.89,9.25
2011-03-31,9.53,9.71,10.05,9.37
2011-04-30,9.35,9.56,9.67,9.19
2011-05-31,9.65,9.34,9.73,9.34
2011-06-30,9.67,9.63,9.78,9.37
2011-07-31,9.7,9.74,10.0,9.55
2011-08-31,8.97,9.71,9.85,8.88
2011-09-30,9.61,8.93,10.02,8.81
2011-10-31,9.74,9.69,10.39,9.39
2011-11-30,9.93,9.83,10.77,9.57
2011-12-31,10.0,10.01,10.2,9.58
2012-01-31,9.76,10.19,10.39,9.58
2012-02-29,9.49,9.81,9.89,9.41
2012-03-31,9.64,9.51,9.94,9.49
2012-04-30,9.26,9.68,9.89,9.23
2012-05-31,9.26,9.29,9.56,9.1
2012-06-30,8.77,9.31,9.39,8.66
2012-07-31,8.14,8.81,8.91,7.91
2012-08-31,8.17,8.05,8.48,7.93
2012-09-30,8.11,8.22,8.48,7.92
2012-10-31,7.96,8.14,8.5,7.95
2012-11-30,6.87,7.89,7.99,6.87
2012-12-31,6.55,6.9,6.9,6.41
2013-01-31,6.7,6.57,6.96,6.48
2013-02-28,6.7,6.78,6.98,6.62
2013-03-31,7.04,6.74,7.24,5.82
2013-04-30,6.17,7.09,7.21,6.16
2013-05-31,6.77,6.16,6.88,5.88
2013-06-30,8.56,7.1,9.49,6.74
2013-07-31,9.14,8.72,9.5,8.13
2013-08-31,10.03,9.12,10.85,8.65
2013-09-30,8.98,10.08,10.08,8.42
2013-10-31,8.75,8.91,9.02,8.19
2013-11-30,9.17,8.75,9.3,8.65
2013-12-31,10.27,9.16,10.82,9.16
2014-01-31,10.1,10.27,10.92,9.72
2014-02-28,10.27,10.2,10.53,9.77
2014-03-31,10.02,10.3,11.17,10.01
2014-04-30,9.18,10.08,10.46,9.13
2014-05-31,8.98,9.23,9.52,8.8
2014-06-30,8.74,8.94,9.29,8.53
2014-07-31,8.88,8.7,9.29,8.51
2014-08-31,8.93,8.88,9.66,8.87
2014-09-30,9.72,8.91,9.98,8.73
2014-10-31,8.48,9.72,9.72,8.39
2014-11-30,7.6,8.63,8.84,7.59
2014-12-31,8.09,7.73,9.0,7.49
2015-01-31,6.99,7.94,8.08,6.74
2015-02-28,8.21,7.07,8.53,6.98
2015-03-31,8.21,8.53,8.53,7.87
2015-04-30,9.14,8.22,9.5,7.96
2015-05-31,8.96,9.25,9.38,8.75
2015-06-30,9.19,9.09,9.77,8.93
2015-07-31,9.34,9.21,9.87,9.08
