"Date","Price","Open","High","Low","Change %"
"12/01/2024","15.145","14.944","15.145","14.860","12.42%"
"11/01/2024","13.472","14.040","14.040","13.472","4.84%"
"10/01/2024","12.850","12.770","12.850","12.770","3.55%"
"09/01/2024","12.410","12.350","12.410","12.350","1.80%"
"08/01/2024","12.190","12.080","12.190","12.080","1.71%"
"07/01/2024","11.985","11.985","11.985","11.985","-2.80%"
"06/01/2024","12.330","12.330","12.330","12.330","4.14%"
"05/01/2024","11.840","11.890","11.890","11.840","0.38%"
"04/01/2024","11.795","11.695","11.795","11.695","7.45%"
"03/01/2024","10.977","11.000","11.000","10.977","1.91%"
"02/01/2024","10.771","10.840","10.840","10.760","1.04%"
"01/01/2024","10.660","10.632","10.660","10.583","2.89%"
"12/01/2023","10.361","10.350","10.361","10.300","-5.55%"
"11/01/2023","10.970","10.885","10.970","10.852","-7.66%"
"10/01/2023","11.880","11.940","11.940","11.825","0.08%"
"09/01/2023","11.870","11.910","11.915","11.816","5.70%"
"08/01/2023","11.230","11.115","11.230","11.115","3.49%"
"07/01/2023","10.851","10.915","10.915","10.851","1.61%"
"06/01/2023","10.679","10.780","10.780","10.670","-7.57%"
"05/01/2023","11.553","11.550","11.553","11.540","-6.56%"
"04/01/2023","12.364","12.360","12.490","12.345","-3.57%"
"03/01/2023","12.822","12.930","12.930","12.810","-3.67%"
"02/01/2023","13.310","13.300","13.310","13.300","1.84%"
"01/01/2023","13.070","13.195","13.195","13.070","2.43%"
"12/01/2022","12.760","12.660","12.760","12.660","-0.39%"
"11/01/2022","12.810","13.025","13.025","12.810","7.60%"
"10/01/2022","11.905","12.115","12.115","11.835","-0.79%"
"09/01/2022","12.000","12.165","12.165","12.000","-1.56%"
"08/01/2022","12.190","12.210","12.210","12.190","-6.52%"
"07/01/2022","13.040","13.240","13.240","13.040","-0.08%"
"06/01/2022","13.050","13.050","13.050","13.050","3.98%"
"05/01/2022","12.550","12.580","12.580","12.550","2.45%"
"04/01/2022","12.250","12.265","12.265","12.250","8.89%"
"03/01/2022","11.250","11.740","11.740","11.250","-0.62%"
"02/01/2022","11.320","11.535","11.565","11.320","2.17%"
"01/01/2022","11.080","11.465","11.465","11.080","7.47%"
"12/01/2021","10.310","10.850","10.850","10.310","-9.64%"
"11/01/2021","11.410","11.410","11.410","11.410","-6.82%"
"10/01/2021","12.245","12.280","12.280","12.245","9.67%"
"09/01/2021","11.165","11.165","11.165","11.165","5.83%"
"08/01/2021","10.550","10.265","10.550","10.265","15.68%"
"07/01/2021","9.120","9.335","9.600","9.120","0.05%"
"06/01/2021","9.115","9.110","9.115","9.110","3.93%"
"05/01/2021","8.770","9.110","9.170","8.770","-3.89%"
"04/01/2021","9.125","9.125","9.125","9.125","2.64%"
"03/01/2021","8.890","9.255","9.255","8.890","8.55%"
"02/01/2021","8.190","8.190","8.190","8.190","8.05%"
"01/01/2021","7.580","7.755","7.755","7.580","9.86%"
