"Date","Price","Open","High","Low","Change %"
"12/01/2024","24.960","24.860","25.960","24.760","2.04%"
"11/01/2024","24.460","24.390","24.930","24.180","2.86%"
"10/01/2024","23.780","23.900","24.740","23.370","1.19%"
"09/01/2024","23.500","22.090","24.400","22.090","6.38%"
"08/01/2024","22.090","23.830","23.950","22.090","-7.30%"
"07/01/2024","23.830","23.830","23.830","23.830","0.21%"
"06/01/2024","23.780","23.780","23.780","23.780","-5.93%"
"05/01/2024","25.280","25.280","25.280","25.280","-8.57%"
"04/01/2024","27.650","27.650","27.650","27.650","-3.59%"
"03/01/2024","28.680","28.680","28.680","28.680","4.86%"
"02/01/2024","27.350","27.350","27.350","27.350","2.24%"
"01/01/2024","26.750","26.750","26.750","26.750","6.66%"
"12/01/2023","25.080","25.080","25.080","25.080","1.74%"
"11/01/2023","24.650","24.650","24.650","24.650","-0.88%"
"10/01/2023","24.870","24.870","24.870","24.870","3.75%"
"09/01/2023","23.970","23.970","23.970","23.970","-0.13%"
"08/01/2023","24.000","24.000","24.000","24.000","3.40%"
"07/01/2023","23.210","23.210","23.210","23.210","2.11%"
"06/01/2023","22.730","22.730","22.730","22.730","-5.21%"
"05/01/2023","23.980","23.980","23.980","23.980","1.91%"
"04/01/2023","23.530","23.530","23.530","23.530","4.95%"
"03/01/2023","22.420","22.420","22.420","22.420","6.26%"
"02/01/2023","21.100","21.100","21.100","21.100","6.19%"
"01/01/2023","19.870","19.870","19.870","19.870","8.58%"
"12/01/2022","18.300","18.300","18.300","18.300","-1.35%"
"11/01/2022","18.550","18.550","18.550","18.550","2.88%"
"10/01/2022","18.030","18.030","18.030","18.030","-1.53%"
"09/01/2022","18.310","18.310","18.310","18.310","0.77%"
"08/01/2022","18.170","18.170","18.170","18.170","3.53%"
"07/01/2022","17.550","17.550","17.550","17.550","5.41%"
"06/01/2022","16.650","16.650","16.650","16.650","-3.65%"
"05/01/2022","17.280","17.280","17.280","17.280","13.16%"
"04/01/2022","15.270","15.270","15.270","15.270","-1.55%"
"03/01/2022","15.510","15.510","15.510","15.510","4.16%"
"02/01/2022","14.891","14.891","14.891","14.891","-0.01%"
"01/01/2022","14.893","14.893","14.893","14.893","0.00%"
"12/01/2021","14.893","14.893","14.893","14.893","-0.15%"
"11/01/2021","14.915","14.915","14.915","14.915","0.01%"
"10/01/2021","14.913","14.913","14.913","14.913","0.22%"
"09/01/2021","14.880","14.880","14.880","14.880","-2.57%"
