"Date","Price","Open","High","Low","Change %"
"12/01/2023","9.770","9.770","9.770","9.770","-2.10%"
"11/01/2023","9.980","9.980","9.980","9.980","-6.51%"
"10/01/2023","10.675","10.675","10.675","10.675","-1.25%"
"09/01/2023","10.810","10.810","10.810","10.810","5.21%"
"08/01/2023","10.275","10.275","10.275","10.275","0.59%"
"07/01/2023","10.215","10.215","10.215","10.215","-2.81%"
"06/01/2023","10.510","10.510","10.510","10.510","-6.99%"
"05/01/2023","11.300","11.300","11.300","11.300","11.00%"
"04/01/2023","10.180","10.180","10.180","10.180","3.56%"
"03/01/2023","9.830","9.830","9.830","9.830","-2.77%"
"02/01/2023","10.110","10.110","10.110","10.110","4.50%"
"01/01/2023","9.675","9.675","9.675","9.675","-5.01%"
"12/01/2022","10.185","10.185","10.185","10.185","-0.97%"
"11/01/2022","10.285","10.285","10.285","10.285","-5.29%"
"10/01/2022","10.860","10.860","10.860","10.860","-0.28%"
"09/01/2022","10.890","10.890","10.890","10.890","4.31%"
"08/01/2022","10.440","10.440","10.440","10.440","0.77%"
"07/01/2022","10.360","10.360","10.360","10.360","-1.85%"
"06/01/2022","10.555","10.555","10.555","10.555","7.32%"
"05/01/2022","9.835","9.835","9.835","9.835","-1.21%"
"04/01/2022","9.955","9.955","9.955","9.955","3.70%"
"03/01/2022","9.600","9.600","9.600","9.600","1.59%"
"02/01/2022","9.450","9.450","9.450","9.450","0.53%"
"01/01/2022","9.400","9.400","9.400","9.400","0.53%"
"12/01/2021","9.350","9.350","9.350","9.350","-4.30%"
"11/01/2021","9.770","9.770","9.770","9.770","1.35%"
"10/01/2021","9.640","9.640","9.640","9.640","4.50%"
"09/01/2021","9.225","9.225","9.225","9.225","5.13%"
"08/01/2021","8.775","8.775","8.775","8.775","-0.57%"
"07/01/2021","8.825","8.825","8.825","8.825","-0.62%"
"06/01/2021","8.880","8.880","8.880","8.880","-0.34%"
"05/01/2021","8.910","8.910","8.910","8.910","-4.09%"
"04/01/2021","9.290","9.290","9.290","9.290","-2.06%"
"03/01/2021","9.485","9.485","9.485","9.485","4.75%"
"02/01/2021","9.055","9.055","9.055","9.055","3.66%"
"01/01/2021","8.735","8.735","8.735","8.735","0.00%"
"12/01/2020","8.735","8.735","8.735","8.735","-2.84%"
"11/01/2020","8.990","8.990","8.990","8.990","-3.49%"
"10/01/2020","9.315","9.315","9.315","9.315","-1.38%"
"09/01/2020","9.445","9.445","9.445","9.445","1.72%"
