"Date","Price","Open","High","Low","Change %"
"01-12-2024","11.731","12.161","12.211","11.731","-3.54%"
"01-11-2024","12.161","13.086","13.086","11.842","-7.07%"
"01-10-2024","13.086","13.345","13.345","13.055","-1.94%"
"01-09-2024","13.345","13.235","13.986","13.235","0.82%"
"01-08-2024","13.236","13.142","13.305","13.135","-0.62%"
"01-07-2024","13.318","13.302","13.318","13.238","0.12%"
"01-06-2024","13.302","13.090","13.302","13.089","1.62%"
"01-05-2024","13.090","13.366","13.366","13.090","-2.06%"
"01-04-2024","13.366","13.401","13.448","13.257","-0.26%"
"01-03-2024","13.401","13.426","13.460","13.399","-0.19%"
"01-02-2024","13.426","13.260","13.813","13.260","1.25%"
"01-01-2024","13.260","13.369","13.516","13.260","-0.81%"
"01-12-2023","13.368","13.302","13.468","13.260","0.50%"
"01-11-2023","13.302","13.276","13.302","13.275","0.20%"
"01-10-2023","13.276","12.691","13.276","12.691","4.61%"
"01-09-2023","12.691","13.457","13.500","12.691","-5.69%"
"01-08-2023","13.457","14.342","14.342","12.475","-6.17%"
"01-07-2023","14.342","19.577","19.579","13.920","-26.74%"
"01-06-2023","19.577","23.743","23.743","19.573","-17.54%"
"01-05-2023","23.742","25.553","25.553","23.742","-7.09%"
"01-04-2023","25.553","25.475","25.559","24.195","0.31%"
"01-03-2023","25.475","28.149","28.149","25.362","-9.50%"
"01-02-2023","28.149","27.948","28.532","27.948","0.72%"
"01-01-2023","27.948","29.026","29.197","27.948","-3.71%"
"01-12-2022","29.026","30.837","30.837","28.840","-5.87%"
"01-11-2022","30.837","31.358","33.127","30.574","-1.66%"
"01-10-2022","31.358","26.296","32.258","26.296","19.25%"
"01-09-2022","26.296","26.784","27.344","26.250","-1.82%"
"01-08-2022","26.784","26.834","27.300","26.164","-0.19%"
"01-07-2022","26.834","21.903","28.600","21.903","22.52%"
"01-06-2022","21.903","22.967","22.967","20.981","-4.63%"
"01-05-2022","22.967","24.855","27.069","22.967","-7.60%"
"01-04-2022","24.855","16.369","33.689","16.369","51.84%"
"01-03-2022","16.369","13.477","16.372","13.477","21.46%"
"01-02-2022","13.477","13.425","13.743","12.840","0.39%"
"01-01-2022","13.425","12.229","13.425","12.035","9.78%"
"01-12-2021","12.229","12.151","12.414","11.833","0.64%"
"01-11-2021","12.151","12.630","12.630","11.887","-3.79%"
"01-10-2021","12.630","10.359","12.630","10.359","21.91%"
"01-09-2021","10.359","9.468","10.939","9.468","9.42%"
"01-08-2021","9.468","9.075","9.992","8.944","4.34%"
"01-07-2021","9.075","8.682","9.075","8.370","4.51%"
"01-06-2021","8.682","8.577","8.682","8.265","1.23%"
"01-05-2021","8.577","8.368","8.682","8.316","1.86%"
"01-04-2021","8.420","8.549","8.680","8.367","0.63%"
"01-03-2021","8.367","8.367","8.549","8.314","0.00%"
"01-02-2021","8.367","7.848","8.550","7.847","6.61%"
"01-01-2021","7.848","7.954","8.030","7.694","-1.33%"
"01-12-2020","7.954","7.799","7.955","7.591","1.99%"
"01-11-2020","7.799","7.436","7.929","7.436","4.89%"
"01-10-2020","7.436","7.747","7.747","7.306","-4.01%"
"01-09-2020","7.747","7.486","7.747","7.331","3.47%"
"01-08-2020","7.486","7.434","7.590","7.279","0.71%"
"01-07-2020","7.434","7.305","7.491","6.968","1.77%"
"01-06-2020","7.305","9.229","9.307","7.279","-20.85%"
"01-05-2020","9.229","9.359","9.411","9.099","-1.39%"
"01-04-2020","9.359","10.119","10.172","9.307","-7.51%"
"01-03-2020","10.119","10.277","10.460","9.936","0.19%"
"01-02-2020","10.100","10.100","10.100","10.100","5.76%"
"01-01-2020","9.550","9.550","9.550","9.550","-4.98%"
"01-12-2019","10.050","10.050","10.050","10.050","-3.37%"
"01-11-2019","10.400","10.400","10.400","10.400","-0.48%"
"01-10-2019","10.450","10.450","10.450","10.450","-2.79%"
"01-09-2019","10.750","10.750","10.750","10.750","5.91%"
"01-08-2019","10.150","10.150","10.150","10.150","1.30%"
"01-07-2019","10.020","10.020","10.020","10.020","-4.11%"
