"Date","Price","Open","High","Low","Change %"
"12/01/2024","27.150","27.540","28.690","27.190","-0.73%"
"11/01/2024","27.350","28.590","29.230","27.380","-3.90%"
"10/01/2024","28.460","26.520","28.550","26.520","6.91%"
"09/01/2024","26.620","26.580","27.570","26.380","-0.41%"
"08/01/2024","26.730","28.430","28.925","26.700","0.56%"
"07/01/2024","26.580","26.550","26.730","25.460","0.23%"
"06/01/2024","26.520","26.160","27.350","25.770","2.20%"
"05/01/2024","25.950","26.920","27.220","25.510","-2.26%"
"04/01/2024","26.550","25.140","27.330","24.580","5.19%"
"03/01/2024","25.240","25.310","26.740","24.520","-0.08%"
"02/01/2024","25.260","25.100","25.590","23.230","0.64%"
"01/01/2024","25.100","24.020","25.800","23.700","5.95%"
"12/01/2023","23.690","24.360","24.360","22.450","-2.39%"
"11/01/2023","24.270","26.360","27.450","24.240","-7.96%"
"10/01/2023","26.370","25.700","27.270","24.890","3.33%"
"09/01/2023","25.520","22.020","26.850","20.130","38.32%"
"08/01/2023","18.450","18.010","20.090","17.650","0.22%"
"07/01/2023","18.410","16.210","19.040","15.950","12.67%"
"06/01/2023","16.340","10.230","18.660","10.230","59.73%"
"05/01/2023","10.230","13.010","17.420","8.670","-18.81%"
"04/01/2023","12.600","10.310","14.320","9.910","22.21%"
"03/01/2023","10.310","10.070","12.190","10.070","3.20%"
"02/01/2023","9.990","10.460","11.430","9.910","-5.04%"
"01/01/2023","10.520","9.910","10.520","8.080","6.59%"
"12/01/2022","9.870","10.560","11.040","7.770","-7.32%"
"11/01/2022","10.650","10.990","12.250","10.480","-3.09%"
"10/01/2022","10.990","11.710","13.110","9.970","-5.67%"
"09/01/2022","11.650","12.660","12.660","10.990","-7.76%"
"08/01/2022","12.630","17.180","17.180","12.590","-26.36%"
"07/01/2022","17.150","18.560","18.560","16.640","-7.50%"
"06/01/2022","18.540","21.490","26.180","18.020","-14.01%"
"05/01/2022","21.560","20.490","24.240","20.490","6.36%"
"04/01/2022","20.270","23.960","25.090","19.890","-15.40%"
"03/01/2022","23.960","22.890","27.040","22.790","3.86%"
"02/01/2022","23.070","22.410","23.630","20.650","2.58%"
"01/01/2022","22.490","23.090","23.810","21.230","-2.43%"
"12/01/2021","23.050","20.260","23.500","20.110","14.11%"
"11/01/2021","20.200","19.020","21.380","18.350","5.87%"
"10/01/2021","19.080","17.770","19.940","17.680","7.61%"
"09/01/2021","17.730","16.470","18.050","16.300","7.65%"
"08/01/2021","16.470","16.600","17.300","16.360","-0.60%"
"07/01/2021","16.570","16.680","17.060","16.500","-0.66%"
"06/01/2021","16.680","17.840","18.210","16.350","-6.40%"
"05/01/2021","17.820","17.780","17.920","17.250","0.56%"
"04/01/2021","17.720","18.080","18.080","17.120","-1.99%"
"03/01/2021","18.080","13.030","20.000","12.840","39.29%"
