Time Series Search Export,Search term,Search filters,,Last update of Central bank policy rates data,Downloaded at,Source,Source URL,Download URL,About Central bank policy rates
,,,,2025-05-15,2025-05-21 03:57 CEST,BIS,https://data.bis.org/topics/CBPOL/data?q=brazil&selected_ts=BIS%2CWS_CBPOL%2C1.0%255EM.BR,https://data.bis.org/topics/CBPOL/data?q=brazil&selected_ts=BIS%2CWS_CBPOL%2C1.0%255EM.BR&file_format=csv&format=long&split_frequencies=false&transposed=false&include=code%2Clabel,https://data.bis.org/topics/CBPOL

DATAFLOW_ID:Dataflow ID,KEY:Timeseries Key,FREQ:Frequency,REF_AREA:Reference area,Unit,Unit multiplier,TIME_PERIOD:Period,OBS_CONF:Confidentiality,OBS_PRE_BREAK:Pre-break value,OBS_STATUS:Status,OBS_VALUE:Value
"BIS,WS_CBPOL,1.0",M.BR,M:Monthly,BR:Brazil,Per cent per year,Units,1986-06-30,F:Free,,A:Normal value,18.26
"BIS,WS_CBPOL,1.0",M.BR,M:Monthly,BR:Brazil,Per cent per year,Units,1986-07-31,F:Free,,A:Normal value,25.08
"BIS,WS_CBPOL,1.0",M.BR,M:Monthly,BR:Brazil,Per cent per year,Units,1986-08-31,F:Free,,A:Normal value,39.87
"BIS,WS_CBPOL,1.0",M.BR,M:Monthly,BR:Brazil,Per cent per year,Units,1986-09-30,F:Free,,A:Normal value,39.78
"BIS,WS_CBPOL,1.0",M.BR,M:Monthly,BR:Brazil,Per cent per year,Units,1986-10-31,F:Free,,A:Normal value,25.46
"BIS,WS_CBPOL,1.0",M.BR,M:Monthly,BR:Brazil,Per cent per year,Units,1986-11-30,F:Free,,A:Normal value,42.42
"BIS,WS_CBPOL,1.0",M.BR,M:Monthly,BR:Brazil,Per cent per year,Units,1986-12-31,F:Free,,A:Normal value,115.56
"BIS,WS_CBPOL,1.0",M.BR,M:Monthly,BR:Brazil,Per cent per year,Units,1987-01-31,F:Free,,A:Normal value,321.14
"BIS,WS_CBPOL,1.0",M.BR,M:Monthly,BR:Brazil,Per cent per year,Units,1987-02-28,F:Free,,A:Normal value,298.36
"BIS,WS_CBPOL,1.0",M.BR,M:Monthly,BR:Brazil,Per cent per year,Units,1987-03-31,F:Free,,A:Normal value,322.76
