Time Series Search Export,Search term,Search filters,,Last update of Central bank policy rates data,Downloaded at,Source,Source URL,Download URL,About Central bank policy rates
,,,,2025-05-15,2025-05-21 03:59 CEST,BIS,https://data.bis.org/topics/CBPOL/data?q=turkey&selected_ts=BIS%2CWS_CBPOL%2C1.0%255EM.TR&data_view=table,https://data.bis.org/topics/CBPOL/data?q=turkey&selected_ts=BIS%2CWS_CBPOL%2C1.0%255EM.TR&data_view=table&file_format=csv&format=long&split_frequencies=false&transposed=false&include=code%2Clabel,https://data.bis.org/topics/CBPOL

DATAFLOW_ID:Dataflow ID,KEY:Timeseries Key,FREQ:Frequency,REF_AREA:Reference area,Unit,Unit multiplier,TIME_PERIOD:Period,OBS_CONF:Confidentiality,OBS_PRE_BREAK:Pre-break value,OBS_STATUS:Status,OBS_VALUE:Value
"BIS,WS_CBPOL,1.0",M.TR,M:Monthly,TR:Türkiye,Per cent per year,Units,2002-02-28,F:Free,,A:Normal value,57.0
"BIS,WS_CBPOL,1.0",M.TR,M:Monthly,TR:Türkiye,Per cent per year,Units,2002-03-31,F:Free,,A:Normal value,54.0
"BIS,WS_CBPOL,1.0",M.TR,M:Monthly,TR:Türkiye,Per cent per year,Units,2002-04-30,F:Free,,A:Normal value,48.0
"BIS,WS_CBPOL,1.0",M.TR,M:Monthly,TR:Türkiye,Per cent per year,Units,2002-05-31,F:Free,,A:Normal value,48.0
"BIS,WS_CBPOL,1.0",M.TR,M:Monthly,TR:Türkiye,Per cent per year,Units,2002-06-30,F:Free,,A:Normal value,48.0
"BIS,WS_CBPOL,1.0",M.TR,M:Monthly,TR:Türkiye,Per cent per year,Units,2002-07-31,F:Free,,A:Normal value,48.0
"BIS,WS_CBPOL,1.0",M.TR,M:Monthly,TR:Türkiye,Per cent per year,Units,2002-08-31,F:Free,,A:Normal value,46.0
"BIS,WS_CBPOL,1.0",M.TR,M:Monthly,TR:Türkiye,Per cent per year,Units,2002-09-30,F:Free,,A:Normal value,46.0
"BIS,WS_CBPOL,1.0",M.TR,M:Monthly,TR:Türkiye,Per cent per year,Units,2002-10-31,F:Free,,A:Normal value,46.0
"BIS,WS_CBPOL,1.0",M.TR,M:Monthly,TR:Türkiye,Per cent per year,Units,2002-11-30,F:Free,,A:Normal value,44.0
